Thu Nov  7 16:23:39 2024 | Inicio de um cliente: Configuração lida com sucesso.
Thu Nov  7 16:26:02 2024 | Inicio de um cliente: Configuração lida com sucesso.
Thu Nov  7 16:28:11 2024 | Inicio de um cliente: Configuração lida com sucesso.
Thu Nov  7 16:30:07 2024 | Inicio de um cliente: Configuração lida com sucesso.
Thu Nov  7 16:32:29 2024 | Inicio de um cliente: Configuração lida com sucesso.
Thu Nov  7 16:35:32 2024 | Inicio de um cliente: Configuração lida com sucesso.
Thu Nov  7 16:37:47 2024 | Inicio de um cliente: Configuração lida com sucesso.
Thu Nov  7 16:44:33 2024 | Inicio de um cliente: Configuração lida com sucesso.
Thu Nov  7 16:47:46 2024 | Inicio de um cliente: Configuração lida com sucesso.
Thu Nov  7 16:49:15 2024 | Inicio de um cliente: Configuração lida com sucesso.
Thu Nov  7 16:49:18 2024 | Inicio de um cliente: Configuração lida com sucesso.
Thu Nov  7 17:01:57 2024 | Inicio de um cliente: Configuração lida com sucesso.
Thu Nov  7 17:36:51 2024 | Inicio de um cliente: Configuração lida com sucesso.
Fri Nov  8 15:30:28 2024 | Inicio de um cliente: Configuração lida com sucesso.
Fri Nov  8 15:39:50 2024 | Inicio de um cliente: Configuração lida com sucesso.
Fri Nov  8 15:46:22 2024 | Inicio de um cliente: Configuração lida com sucesso.
Fri Nov  8 15:47:56 2024 | Inicio de um cliente: Configuração lida com sucesso.
Fri Nov  8 15:49:52 2024 | Inicio de um cliente: Configuração lida com sucesso.
Fri Nov  8 15:54:20 2024 | Inicio de um cliente: Configuração lida com sucesso.
Fri Nov  8 15:55:49 2024 | Cliente desconectado.
Fri Nov  8 15:55:51 2024 | Inicio de um cliente: Configuração lida com sucesso.
Fri Nov  8 15:56:45 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 10:17:41 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 10:19:58 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 10:22:01 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 10:22:23 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 10:23:20 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 10:24:45 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 10:28:57 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 10:32:01 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 10:33:21 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 10:48:15 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 10:50:49 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 10:54:01 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 10:55:10 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 10:57:38 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 11:04:39 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 11:05:48 2024 | Cliente desconectado.
Sat Nov  9 11:07:44 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 11:56:53 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 11:58:07 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 11:58:40 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 11:58:50 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 11:59:04 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 12:00:02 2024 | Cliente desconectado.
Sat Nov  9 12:00:02 2024 | Cliente desconectado.
Sat Nov  9 12:00:02 2024 | Cliente desconectado.
Sat Nov  9 12:00:28 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 12:00:48 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 12:00:52 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 12:00:57 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 12:02:07 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 12:02:18 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 12:02:22 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 12:02:33 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 12:02:39 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 12:12:03 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 12:15:15 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 12:15:44 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 12:15:57 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 12:28:20 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 12:38:28 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 12:38:38 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 13:11:40 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 13:11:47 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 13:12:28 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 13:12:36 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 13:12:43 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 13:13:20 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 13:14:13 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 13:14:20 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 13:14:26 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 15:14:32 2024 | Cliente desconectado.
Sat Nov  9 15:14:43 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 15:14:54 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 15:16:41 2024 | Inicio de um cliente: Configuração lida com sucesso.
Sat Nov  9 15:16:53 2024 | Inicio de um cliente: Configuração lida com sucesso.
Mon Nov 11 12:58:05 2024 | Inicio de um cliente: Configuração lida com sucesso.
Mon Nov 11 12:58:12 2024 | Inicio de um cliente: Configuração lida com sucesso.
Mon Nov 11 12:58:24 2024 | Inicio de um cliente: Configuração lida com sucesso.
Mon Nov 11 12:58:31 2024 | Inicio de um cliente: Configuração lida com sucesso.
Mon Nov 11 13:05:20 2024 | Inicio de um cliente: Configuração lida com sucesso.
Mon Nov 11 13:05:27 2024 | Inicio de um cliente: Configuração lida com sucesso.
Mon Nov 11 13:05:34 2024 | Inicio de um cliente: Configuração lida com sucesso.
Mon Nov 11 13:10:03 2024 | Cliente desconectado.
Mon Nov 11 13:10:30 2024 | Inicio de um cliente: Configuração lida com sucesso.
Mon Nov 11 13:10:34 2024 | Inicio de um cliente: Configuração lida com sucesso.
Mon Nov 11 13:12:37 2024 | Cliente desconectado.
Mon Nov 11 13:13:01 2024 | Configuração lida com sucesso.
Mon Nov 11 13:13:06 2024 | Configuração lida com sucesso.
Mon Nov 11 13:13:10 2024 | Configuração lida com sucesso.
Mon Nov 11 13:16:57 2024 | Cliente desconectado.
Mon Nov 11 13:17:19 2024 | Configuração lida com sucesso.
Mon Nov 11 13:17:32 2024 | Configuração lida com sucesso.
Mon Nov 11 13:17:36 2024 | Configuração lida com sucesso.
Mon Nov 11 13:17:40 2024 | Configuração lida com sucesso.
Mon Nov 11 13:17:43 2024 | Configuração lida com sucesso.
Mon Nov 11 13:17:47 2024 | Configuração lida com sucesso.
Mon Nov 11 13:17:53 2024 | Configuração lida com sucesso.
Mon Nov 11 13:18:27 2024 | Configuração lida com sucesso.
Mon Nov 11 13:18:35 2024 | Configuração lida com sucesso.
Mon Nov 11 13:18:42 2024 | Configuração lida com sucesso.
Mon Nov 11 13:18:50 2024 | Configuração lida com sucesso.
Mon Nov 11 13:26:53 2024 | Configuração lida com sucesso.
Mon Nov 11 13:26:58 2024 | Configuração lida com sucesso.
Mon Nov 11 13:31:48 2024 | Configuração lida com sucesso.
Mon Nov 11 13:31:54 2024 | Configuração lida com sucesso.
Mon Nov 11 13:31:59 2024 | Configuração lida com sucesso.
Mon Nov 11 13:32:04 2024 | Configuração lida com sucesso.
Mon Nov 11 13:41:23 2024 | Configuração lida com sucesso.
Mon Nov 11 13:41:26 2024 | Configuração lida com sucesso.
Mon Nov 11 13:41:29 2024 | Configuração lida com sucesso.
Mon Nov 11 13:44:18 2024 | Configuração lida com sucesso.
Mon Nov 11 13:44:24 2024 | Configuração lida com sucesso.
Mon Nov 11 13:44:31 2024 | Configuração lida com sucesso.
Mon Nov 11 13:44:35 2024 | Configuração lida com sucesso.
Mon Nov 11 13:44:47 2024 | Configuração lida com sucesso.
Mon Nov 11 13:45:08 2024 | Configuração lida com sucesso.
Mon Nov 11 13:51:32 2024 | Cliente desconectado.
Mon Nov 11 13:52:16 2024 | Configuração lida com sucesso.
Mon Nov 11 13:52:36 2024 | Configuração lida com sucesso.
Mon Nov 11 13:52:51 2024 | Configuração lida com sucesso.
